Name,Place,Registration Starts,Registration End,Hackathon Starts,Hackathon Ends,Link
HactoVerse 2023,"Online",03 OCTOBER 2023 11:00 PM IST,27 OCTOBER 2023 10:00 AM IST,10 OCTOBER 2023 07:30 PM IST,27 OCTOBER 2023 07:30 PM IST,https://hactoverse.devfolio.co/
Syntax Error X,"Roorkee, India",09 OCTOBER 2023 08:15 PM IST,27 OCTOBER 2023 06:00 PM IST,27 OCTOBER 2023 06:00 PM IST,29 OCTOBER 2023 12:00 PM IST,https://syntax-error-x.devfolio.co/
Sponsathon 2K23,"Ahmedabad, India",23 JULY 2023 12:00 AM IST,30 OCTOBER 2023 12:00 AM IST,01 NOVEMBER 2023 12:00 AM IST,02 NOVEMBER 2023 12:00 AM IST,https://sponsathon-k.devfolio.co/
Hackout 2023,"Kharagpur, India",03 OCTOBER 2023 06:00 AM IST,31 OCTOBER 2023 12:00 AM IST,03 NOVEMBER 2023 05:30 PM IST,05 NOVEMBER 2023 06:00 AM IST,https://hackout2023.devfolio.co/
CodeKraken,"Dhule, India",21 AUGUST 2023 10:00 PM IST,31 OCTOBER 2023 02:00 AM IST,10 SEPTEMBER 2023 10:00 AM IST,31 OCTOBER 2023 02:00 AM IST,https://codekraken.devfolio.co/
ETHIndia,"Bengaluru, India",24 SEPTEMBER 2023 10:30 PM IST,31 OCTOBER 2023 11:59 PM IST,08 DECEMBER 2023 09:00 PM IST,10 DECEMBER 2023 09:00 AM IST,https://ethindia2023.devfolio.co/
Web3Hack Sphinx 2023,"Jaipur, India",05 OCTOBER 2023 12:00 AM IST,01 NOVEMBER 2023 11:59 PM IST,03 NOVEMBER 2023 12:00 PM IST,04 NOVEMBER 2023 12:00 PM IST,https://web3hack-sphinx.devfolio.co/
PEC Hacks,"Chennai, India",05 SEPTEMBER 2023 10:15 AM IST,10 NOVEMBER 2023 12:00 AM IST,27 JANUARY 2024 09:00 AM IST,28 JANUARY 2024 06:00 PM IST,https://pechacks.devfolio.co/
ZK Hack Istanbul,"None Given",17 SEPTEMBER 2023 11:30 PM GMT+3,10 NOVEMBER 2023 03:30 PM GMT+3,10 NOVEMBER 2023 01:00 AM GMT+3,12 NOVEMBER 2023 10:00 AM GMT+3,https://zk-hack-istanbul.devfolio.co/
Geekathon 1.0,"Online",30 SEPTEMBER 2023 09:00 PM IST,11 NOVEMBER 2023 08:15 AM IST,11 NOVEMBER 2023 09:00 AM IST,13 NOVEMBER 2023 09:00 AM IST,https://webathon.devfolio.co/
Dev.Fusion,"New Delhi, India",30 SEPTEMBER 2023 11:30 PM IST,15 NOVEMBER 2023 11:59 PM IST,24 NOVEMBER 2023 09:00 AM IST,25 NOVEMBER 2023 04:00 PM IST,https://devfusion.devfolio.co/
ETHIndia Grants,"None Given",None Given,None Given,None Given,None Given,https://ethindiagrants2023.devfolio.co/
